ISBN,title,author,pages_number,publisher,credits,contents,cover,average_grade
4953961597005,Digital Design and Computer Architecture,Kevin Ramirez,908,"Horn, Thomas and Farmer",16.66,toc-22.pdf,cover-14.jpg,
3070566914067,Electrical Engineering: Principles and Applications,Savannah Vega,693,Little-Guerrero,20.81,toc-27.pdf,cover-20.jpg,
7096568672464,"Digital Signal Processing: Principles, Algorithms, and Applications",Edward Trevino,590,"King, Soto and Wilkerson",29.15,toc-6.pdf,cover-18.jpg,
5555583688361,Microelectronic Circuits,Melissa Norman,398,"Wallace, Rogers and Cruz",29.52,toc-5.pdf,cover-13.jpg,
5910122131671,Modern Control Engineering,Mr. Russell Navarro,211,Martin Inc,11.54,toc-8.pdf,cover-5.jpg,
3182505474745,Fundamentals of Electric Circuits,Alexis Mann,127,Brewer Group,17.42,toc-2.pdf,cover-23.jpg,
5782281515005,Computer Networking: A Top-Down Approach,Nicole Perez,807,Booker-Wallace,9.26,toc-5.pdf,cover-1.jpg,
5027239955049,Introduction to Algorithms,James Webster,585,Davidson-Conrad,8.59,toc-18.pdf,cover-22.jpg,
5580994704925,Artificial Intelligence: A Modern Approach,Laurie Huff,828,"Nelson, Morales and Rhodes",6.96,toc-5.pdf,cover-13.jpg,
2255855186054,Embedded Systems: Introduction to Arm Cortex-M Microcontrollers,Marc Farmer,450,Olson LLC,19.49,toc-14.pdf,cover-24.jpg,
2342637036637,The Art of Electronics,Jennifer Henderson,278,Williams Inc,16.68,toc-16.pdf,cover-8.jpg,
8293196738353,Computer Organization and Design: The Hardware/Software Interface,Robert Green,221,Good Group,13.17,toc-16.pdf,cover-14.jpg,
6531840863412,Power System Analysis and Design,Nancy Johnson,637,"Campbell, Mitchell and White",7.26,toc-15.pdf,cover-24.jpg,
2822658243789,RF Microelectronics,Mrs. Gina Rodriguez,971,Harrison-Johnson,3.68,toc-25.pdf,cover-27.jpg,
4359557725520,Data Communications and Networking,Karen Price,312,"Pennington, Anderson and Mann",20.51,toc-15.pdf,cover-28.jpg,
5723658028717,Principles of Wireless Networks: A Unified Approach,Shane Hernandez,738,Dixon-Woods,14.81,toc-17.pdf,cover-26.jpg,
1455239885000,Control Systems Engineering,Kaitlyn Stone,137,Martin-Hopkins,10.74,toc-15.pdf,cover-1.jpg,
5398307363718,Digital Image Processing,Sandra Ochoa,127,Boyd-Calderon,15.17,toc-22.pdf,cover-13.jpg,
4134555032704,Computer Vision: Algorithms and Applications,Taylor Shaffer,293,Francis-Johnson,25.59,toc-3.pdf,cover-7.jpg,
2032172581818,"Electric Machines and Drives: Principles, Control, and Applications",Travis Alexander,669,Cooper and Sons,14.32,toc-25.pdf,cover-18.jpg,
3427302562650,Principles of Electric Machines and Power Electronics,Savannah Hartman,319,Gardner Group,20.73,toc-18.pdf,cover-16.jpg,
1599382093717,Introduction to Power Electronics,Eric Davis,834,Lee-Vasquez,14.93,toc-25.pdf,cover-29.jpg,
4111018714065,Semiconductor Device Fundamentals,Larry Myers,189,Valdez-Lee,9.16,toc-3.pdf,cover-21.jpg,
9498479648025,Neural Networks and Learning Machines,Mary Flores,911,Bass PLC,3.39,toc-2.pdf,cover-23.jpg,
5902367986525,Signals and Systems,Tanya Mccall,940,Mccarthy-Murphy,8.15,toc-7.pdf,cover-10.jpg,
7108095086454,Analog Integrated Circuit Design,Katie Lewis,131,Martin LLC,11.76,toc-19.pdf,cover-8.jpg,
6544539166490,Communication Systems,Jacqueline Nelson,987,Weber Group,18.03,toc-29.pdf,cover-30.jpg,
8539399426860,Antennas and Wave Propagation,Jeffrey Obrien,797,"Reyes, Perry and Navarro",27.38,toc-25.pdf,cover-23.jpg,
3854333653230,"Networks, Lines, and Fields",Marissa Stevens,478,Reyes Inc,9.51,toc-3.pdf,cover-30.jpg,
3841074156045,Electromagnetic Waves and Radiating Systems,Diane Woods,711,"Shannon, Russo and Wilkinson",19.92,toc-11.pdf,cover-27.jpg,
1740115837335,Digital Design and Computer Architecture,William Williams MD,336,Wilson-Smith,6.3,toc-23.pdf,cover-25.jpg,
1725014781226,Electrical Engineering: Principles and Applications,Christopher Arnold,496,Williams-Larson,16.49,toc-9.pdf,cover-3.jpg,
6554115750423,"Digital Signal Processing: Principles, Algorithms, and Applications",Debra Patrick,967,"Williams, Richardson and Villarreal",26.48,toc-17.pdf,cover-18.jpg,
4556486731822,Microelectronic Circuits,Gregory Henry,397,"Hopkins, Allen and Carroll",17.54,toc-16.pdf,cover-25.jpg,
5611775338472,Modern Control Engineering,Stephen Mullen,327,"Bell, Mckay and Golden",29.46,toc-1.pdf,cover-11.jpg,
2315584788810,Fundamentals of Electric Circuits,Brett Hicks,630,Roberts Group,17.04,toc-18.pdf,cover-7.jpg,
8908364158434,Computer Networking: A Top-Down Approach,Teresa Anderson,407,"Allen, Richardson and Weber",6.11,toc-25.pdf,cover-18.jpg,
7800845127388,Introduction to Algorithms,Amanda Cruz,429,Yu and Sons,12.1,toc-4.pdf,cover-11.jpg,
1006583437651,Artificial Intelligence: A Modern Approach,Matthew Diaz,959,Mosley-Acevedo,29.59,toc-19.pdf,cover-7.jpg,
